"leverantor","period","tjanst","tjanstdelt_ny","tjanstdelt_pagaende","tjanstdelt_avslutat","total_ny","total_pagaende","andel_ny","andel_pagaende"
"Kollega - matchning, rekrytering och bemanning A","2022-11","Rusta och Matcha",23,99,7,10934,70709,0.00210353027254436,0.00140010465428729
"Kollega - matchning, rekrytering och bemanning A","2022-12","Rusta och Matcha",25,118,6,10114,70789,0.00247182123788808,0.00166692565229061
"Kollega - matchning, rekrytering och bemanning A","2023-01","Rusta och Matcha",20,114,25,7787,67057,0.00256838320277385,0.00170004622932729
"Kollega - matchning, rekrytering och bemanning A","2023-02","Rusta och Matcha",16,123,9,11172,67672,0.00143215180809166,0.00181759073176498
"Kollega - matchning, rekrytering och bemanning A","2023-03","Rusta och Matcha",23,128,20,12440,69280,0.00184887459807074,0.00184757505773672
"Kollega - matchning, rekrytering och bemanning A","2023-04","Rusta och Matcha",14,123,19,8486,63195,0.00164977610181475,0.00194635651554712
"Kollega - matchning, rekrytering och bemanning A","2023-05","Rusta och Matcha",23,113,32,12038,60152,0.00191061638145871,0.00187857427849448
"Kollega - matchning, rekrytering och bemanning A","2023-06","Rusta och Matcha",24,108,27,9226,55094,0.00260134402774767,0.00196028605655788
"Kollega - matchning, rekrytering och bemanning A","2023-07","Rusta och Matcha",20,102,27,7862,51663,0.00254388196387688,0.00197433366238894
"Kollega - matchning, rekrytering och bemanning A","2023-08","Rusta och Matcha",16,94,27,6562,44388,0.00243828101188662,0.00211768946562134
"Kollega - matchning, rekrytering och bemanning A","2023-09","Rusta och Matcha",34,101,27,11957,41936,0.00284352262273145,0.00240843189622282
"Kollega - matchning, rekrytering och bemanning A","2023-10","Rusta och Matcha",42,123,17,14711,47275,0.0028550064577527,0.00260179799048123
"Kollega - matchning, rekrytering och bemanning A","2023-11","Rusta och Matcha",34,145,14,11758,52797,0.00289164823949651,0.00274636816485785
"Kollega - matchning, rekrytering och bemanning A","2023-12","Rusta och Matcha",29,161,16,9187,56760,0.00315663437465985,0.00283650458069063
"Kollega - matchning, rekrytering och bemanning A","2024-01","Rusta och Matcha",32,177,14,8900,59141,0.00359550561797753,0.00299284760149473
"Kollega - matchning, rekrytering och bemanning A","2024-02","Rusta och Matcha",36,199,16,10063,63776,0.00357746198946636,0.00312029603612644
"Kollega - matchning, rekrytering och bemanning A","2024-03","Rusta och Matcha",30,208,24,8455,64400,0.00354819633353046,0.00322981366459627
"Kollega - matchning, rekrytering och bemanning A","2024-04","Rusta och Matcha",20,192,37,6871,62884,0.002910784456411,0.00305324088798422
"Kollega - matchning, rekrytering och bemanning A","2024-05","Rusta och Matcha",18,174,34,6017,57867,0.00299152401529001,0.00300689512157188
"Kollega - matchning, rekrytering och bemanning A","2024-06","Rusta och Matcha",18,161,30,5742,53560,0.00313479623824451,0.00300597460791636
"Kollega - matchning, rekrytering och bemanning A","2024-07","Rusta och Matcha",25,169,14,5390,52364,0.00463821892393321,0.00322740814299901
"Kollega - matchning, rekrytering och bemanning A","2024-08","Rusta och Matcha",8,146,27,2960,46070,0.0027027027027027,0.00316909051443456
"Kollega - matchning, rekrytering och bemanning A","2024-09","Rusta och Matcha",25,141,31,6345,43259,0.00394011032308905,0.00325943734251832
"Kollega - matchning, rekrytering och bemanning A","2024-10","Rusta och Matcha",16,124,35,7366,41513,0.00217214227531903,0.00298701611543372
"Kollega - matchning, rekrytering och bemanning A","2024-11","Rusta och Matcha",28,127,25,5696,39416,0.00491573033707865,0.00322204181043231
"Kollega - matchning, rekrytering och bemanning A","2024-12","Rusta och Matcha",15,122,20,5974,40168,0.00251088048208905,0.0030372435769767
"Kompetens & Matchning Sverige AB","2023-02","Rusta och Matcha",0,7,0,11172,67672,0,0.000103440122945975
"Kompetens & Matchning Sverige AB","2023-03","Rusta och Matcha",44,76,0,12440,69280,0.00353697749196141,0.00109699769053118
"Kompetens & Matchning Sverige AB","2023-04","Rusta och Matcha",57,124,13,8486,63195,0.00671694555738864,0.00196218055225888
"Kompetens & Matchning Sverige AB","2023-05","Rusta och Matcha",73,185,11,12038,60152,0.00606413025419505,0.00307554196036707
"Kompetens & Matchning Sverige AB","2023-06","Rusta och Matcha",64,231,19,9226,55094,0.00693691740732712,0.00419283406541547
"Kompetens & Matchning Sverige AB","2023-07","Rusta och Matcha",56,246,40,7862,51663,0.00712286949885525,0.0047616282445851
"Kompetens & Matchning Sverige AB","2023-08","Rusta och Matcha",38,235,41,6562,44388,0.00579091740323072,0.00529422366405335
"Kompetens & Matchning Sverige AB","2023-09","Rusta och Matcha",61,216,54,11957,41936,0.00510161411725349,0.00515070583746662
"Kompetens & Matchning Sverige AB","2023-10","Rusta och Matcha",108,261,56,14711,47275,0.00734144517707838,0.00552088841882602
"Kompetens & Matchning Sverige AB","2023-11","Rusta och Matcha",59,277,34,11758,52797,0.00501786018030277,0.00524651021838362
"Kompetens & Matchning Sverige AB","2023-12","Rusta och Matcha",36,269,30,9187,56760,0.00391858060302602,0.00473925299506695
"Kompetens & Matchning Sverige AB","2024-01","Rusta och Matcha",40,265,26,8900,59141,0.00449438202247191,0.00448081703048646
"Kompetens & Matchning Sverige AB","2024-02","Rusta och Matcha",37,260,30,10063,63776,0.00367683593361821,0.00407676869041646
"Kompetens & Matchning Sverige AB","2024-03","Rusta och Matcha",25,240,36,8455,64400,0.00295683027794205,0.00372670807453416
"Kompetens & Matchning Sverige AB","2024-04","Rusta och Matcha",32,225,37,6871,62884,0.0046572551302576,0.00357801666560651
"Kompetens & Matchning Sverige AB","2024-05","Rusta och Matcha",36,213,49,6017,57867,0.00598304803058002,0.00368085437295868
"Kompetens & Matchning Sverige AB","2024-06","Rusta och Matcha",32,207,38,5742,53560,0.00557297109021247,0.00386482449589246
"Kompetens & Matchning Sverige AB","2024-07","Rusta och Matcha",18,200,24,5390,52364,0.00333951762523191,0.00381941792070888
"Kompetens & Matchning Sverige AB","2024-08","Rusta och Matcha",12,181,24,2960,46070,0.00405405405405405,0.00392880399392229
"Kompetens & Matchning Sverige AB","2024-09","Rusta och Matcha",28,163,34,6345,43259,0.00441292356185973,0.00376800203425877
"Kompetens & Matchning Sverige AB","2024-10","Rusta och Matcha",31,159,32,7366,41513,0.00420852565843063,0.00383012550285453
"Kompetens & Matchning Sverige AB","2024-11","Rusta och Matcha",20,146,32,5696,39416,0.00351123595505618,0.00370407956159935
"Kompetens & Matchning Sverige AB","2024-12","Rusta och Matcha",29,165,16,5974,40168,0.00485436893203883,0.00410774746066521
"Kompetenso AB","2022-06","Rusta och Matcha",5,28,0,7847,68443,0.000637186185803492,0.000409099542685154
"Kompetenso AB","2022-07","Rusta och Matcha",11,45,0,7911,69212,0.00139046896726078,0.000650176270010981
"Kompetenso AB","2022-08","Rusta och Matcha",0,53,0,4820,65940,0,0.000803760994843797
"Kompetenso AB","2022-09","Rusta och Matcha",13,67,0,8197,66124,0.00158594607783335,0.00101324783739641
"Kompetenso AB","2022-10","Rusta och Matcha",7,71,5,11356,69163,0.000616414230362804,0.00102656044416812
"Kompetenso AB","2022-11","Rusta och Matcha",9,76,10,10934,70709,0.000823120541430401,0.00107482781541247
"Kompetenso AB","2022-12","Rusta och Matcha",14,96,9,10114,70789,0.00138421989321732,0.00135614290355846
"Kompetenso AB","2023-01","Rusta och Matcha",14,102,10,7787,67057,0.0017978682419417,0.00152109399466126
"Kompetenso AB","2023-02","Rusta och Matcha",21,116,12,11172,67672,0.0018796992481203,0.00171415060881901
"Kompetenso AB","2023-03","Rusta och Matcha",44,150,13,12440,69280,0.00353697749196141,0.00216512702078522
"Kompetenso AB","2023-04","Rusta och Matcha",16,139,29,8486,63195,0.001885458402074,0.00219954110293536
"Kompetenso AB","2023-05","Rusta och Matcha",35,157,17,12038,60152,0.00290745971091543,0.00261005452852773
"Kompetenso AB","2023-06","Rusta och Matcha",26,162,19,9226,55094,0.00281812269672664,0.00294042908483682
"Kompetenso AB","2023-07","Rusta och Matcha",14,156,20,7862,51663,0.00178071737471381,0.0030195691307125
"Kompetenso AB","2023-08","Rusta och Matcha",15,145,24,6562,44388,0.00228588844864371,0.0032666486437776
"Kompetenso AB","2023-09","Rusta och Matcha",38,134,43,11957,41936,0.00317805469599398,0.00319534528805799
"Kompetenso AB","2023-10","Rusta och Matcha",43,157,16,14711,47275,0.00292298280198491,0.00332099418297197
"Kompetenso AB","2023-11","Rusta och Matcha",31,167,23,11758,52797,0.00263650280659976,0.00316305850711215
"Kompetenso AB","2023-12","Rusta och Matcha",28,176,20,9187,56760,0.00304778491346468,0.00310077519379845
"Kompetenso AB","2024-01","Rusta och Matcha",23,190,12,8900,59141,0.00258426966292135,0.00321266126714124
"Kompetenso AB","2024-02","Rusta och Matcha",21,190,16,10063,63776,0.00208685282718871,0.00297917711991972
"Kompetenso AB","2024-03","Rusta och Matcha",21,192,16,8455,64400,0.00248373743347132,0.00298136645962733
"Kompetenso AB","2024-04","Rusta och Matcha",15,177,30,6871,62884,0.00218308834230825,0.00281470644361046
"Kompetenso AB","2024-05","Rusta och Matcha",10,155,26,6017,57867,0.00166195778627223,0.00267855599910139
"Kompetenso AB","2024-06","Rusta och Matcha",19,174,25,5742,53560,0.00330895158481365,0.0032486930545183
"Kompetenso AB","2024-07","Rusta och Matcha",14,183,19,5390,52364,0.0025974025974026,0.00349476739744863
"Kompetenso AB","2024-08","Rusta och Matcha",13,182,22,2960,46070,0.00439189189189189,0.00395051009333623
"Kompetenso AB","2024-09","Rusta och Matcha",16,164,35,6345,43259,0.00252167060677699,0.00379111861115606
"Kompetenso AB","2024-10","Rusta och Matcha",18,153,29,7366,41513,0.00244366005973391,0.00368559246501096
"Kompetenso AB","2024-11","Rusta och Matcha",12,139,28,5696,39416,0.00210674157303371,0.00352648670590623
"Kompetenso AB","2024-12","Rusta och Matcha",13,127,24,5974,40168,0.00217609641781051,0.00316172077275443
"Kunskapsbolaget Integra AB","2021-10","Rusta och Matcha",0,0,0,4365,16624,0,0
"Kunskapsbolaget Integra AB","2021-11","Rusta och Matcha",12,14,0,10345,25024,0.00115998066698888,0.000559462915601023
"Kunskapsbolaget Integra AB","2021-12","Rusta och Matcha",0,13,0,13013,35668,0,0.000364472356173601
"Kunskapsbolaget Integra AB","2022-01","Rusta och Matcha",0,10,0,10877,43054,0,0.000232266456078413
"Kunskapsbolaget Integra AB","2022-02","Rusta och Matcha",0,12,0,16179,55202,0,0.000217383428136662
"Kunskapsbolaget Integra AB","2022-03","Rusta och Matcha",0,12,0,15411,65117,0,0.000184283674002181
"Kunskapsbolaget Integra AB","2022-04","Rusta och Matcha",6,16,0,11321,68619,0.000529988516915467,0.00023317157055626
"Kunskapsbolaget Integra AB","2022-05","Rusta och Matcha",0,19,0,10669,70318,0,0.00027020108649279
"Kunskapsbolaget Integra AB","2022-06","Rusta och Matcha",5,23,0,7847,68443,0.000637186185803492,0.000336046052919948
"Kunskapsbolaget Integra AB","2022-07","Rusta och Matcha",5,28,0,7911,69212,0.000632031348754898,0.000404554123562388
"Kunskapsbolaget Integra AB","2022-08","Rusta och Matcha",0,26,0,4820,65940,0,0.000394297846527146
"Kunskapsbolaget Integra AB","2022-09","Rusta och Matcha",5,31,0,8197,66124,0.000609979260705136,0.000468816163571472
"Kunskapsbolaget Integra AB","2022-10","Rusta och Matcha",7,36,0,11356,69163,0.000616414230362804,0.000520509520986655
"Kunskapsbolaget Integra AB","2022-11","Rusta och Matcha",0,35,5,10934,70709,0,0.000494986493939951
"Kunskapsbolaget Integra AB","2022-12","Rusta och Matcha",7,41,0,10114,70789,0.000692109946608661,0.000579186031728093
"Kunskapsbolaget Integra AB","2023-01","Rusta och Matcha",0,39,0,7787,67057,0,0.000581594762664599
"Kunskapsbolaget Integra AB","2023-02","Rusta och Matcha",0,28,5,11172,67672,0,0.000413760491783899
"Kunskapsbolaget Integra AB","2023-03","Rusta och Matcha",0,5,22,12440,69280,0,7.21709006928406e-05
"Kunskapsbolaget Integra AB","2023-04","Rusta och Matcha",0,0,0,8486,63195,0,0
"Kunskapsbolaget Integra AB","2023-05","Rusta och Matcha",0,0,0,12038,60152,0,0
"Kunskapscompaniet Ankaret AB","2020-04","Rusta och Matcha",0,0,0,11,11,0,0
"Kunskapscompaniet Ankaret AB","2020-05","Rusta och Matcha",19,20,0,436,464,0.0435779816513761,0.0431034482758621
"Kunskapscompaniet Ankaret AB","2020-06","Rusta och Matcha",27,46,0,784,1208,0.0344387755102041,0.0380794701986755
"Kunskapscompaniet Ankaret AB","2020-07","Rusta och Matcha",30,70,6,918,2068,0.0326797385620915,0.0338491295938104
"Kunskapscompaniet Ankaret AB","2020-08","Rusta och Matcha",19,84,5,386,2330,0.0492227979274611,0.0360515021459227
"Kunskapscompaniet Ankaret AB","2020-09","Rusta och Matcha",22,101,6,775,2913,0.0283870967741936,0.0346721592859595
"Kunskapscompaniet Ankaret AB","2020-10","Rusta och Matcha",25,125,0,1050,3769,0.0238095238095238,0.0331652958344388
"Kunskapscompaniet Ankaret AB","2020-11","Rusta och Matcha",17,134,9,895,4403,0.0189944134078212,0.0304337951396775
"Kunskapscompaniet Ankaret AB","2020-12","Rusta och Matcha",12,137,9,1389,5520,0.00863930885529158,0.0248188405797101
"Kunskapscompaniet Ankaret AB","2021-01","Rusta och Matcha",13,142,9,1239,6288,0.0104923325262308,0.0225826972010178
"Kunskapscompaniet Ankaret AB","2021-02","Rusta och Matcha",14,146,13,1509,7345,0.00927766732935719,0.0198774676650783
"Kunskapscompaniet Ankaret AB","2021-03","Rusta och Matcha",15,151,11,1509,8181,0.0099403578528827,0.0184574012956851
"Kunskapscompaniet Ankaret AB","2021-04","Rusta och Matcha",0,143,11,1006,8530,0,0.0167643610785463
"Kunskapscompaniet Ankaret AB","2021-05","Rusta och Matcha",13,132,25,943,8361,0.0137857900318134,0.0157875852170793
"Kunskapscompaniet Ankaret AB","2021-06","Rusta och Matcha",12,121,24,2969,9747,0.00404176490400808,0.0124140761259875
"Kunskapscompaniet Ankaret AB","2021-07","Rusta och Matcha",18,117,22,3811,12383,0.00472316977171346,0.00944843737381895
"Kunskapscompaniet Ankaret AB","2021-08","Rusta och Matcha",24,121,22,2428,13114,0.00988467874794069,0.00922678053988104
"Kunskapscompaniet Ankaret AB","2021-09","Rusta och Matcha",33,135,20,2639,14018,0.0125047366426677,0.00963047510343844
"Kunskapscompaniet Ankaret AB","2021-10","Rusta och Matcha",34,144,22,4365,16624,0.00778923253150057,0.00866217516843118
"Kunskapscompaniet Ankaret AB","2021-11","Rusta och Matcha",45,170,17,10345,25024,0.00434992750120831,0.00679347826086957
"Kunskapscompaniet Ankaret AB","2021-12","Rusta och Matcha",44,192,19,13013,35668,0.00338123415046492,0.00538297633733318
"Kunskapscompaniet Ankaret AB","2022-01","Rusta och Matcha",34,203,21,10877,43054,0.00312586191045325,0.00471500905839179
"Kunskapscompaniet Ankaret AB","2022-02","Rusta och Matcha",47,225,22,16179,55202,0.00290500030904259,0.00407593927756241
"Kunskapscompaniet Ankaret AB","2022-03","Rusta och Matcha",43,254,13,15411,65117,0.00279021478164947,0.00390067109971282
"Kunskapscompaniet Ankaret AB","2022-04","Rusta och Matcha",28,254,25,11321,68619,0.00247327974560551,0.00370159868258063
"Kunskapscompaniet Ankaret AB","2022-05","Rusta och Matcha",20,248,28,10669,70318,0.00187458993345206,0.00352683523422168
"Kunskapscompaniet Ankaret AB","2022-06","Rusta och Matcha",24,226,40,7847,68443,0.00305849369185676,0.00330201773738731
"Kunskapscompaniet Ankaret AB","2022-07","Rusta och Matcha",26,227,19,7911,69212,0.00328656301352547,0.0032797780731665
"Kunskapscompaniet Ankaret AB","2022-08","Rusta och Matcha",15,207,31,4820,65940,0.00311203319502075,0.00313921747042766
"Kunskapscompaniet Ankaret AB","2022-09","Rusta och Matcha",25,194,38,8197,66124,0.00304989630352568,0.00293388179783437
"Kunskapscompaniet Ankaret AB","2022-10","Rusta och Matcha",43,208,31,11356,69163,0.00378654455794294,0.00300738834347845
"Kunskapscompaniet Ankaret AB","2022-11","Rusta och Matcha",47,231,25,10934,70709,0.00429851838302543,0.00326691086000368
"Kunskapscompaniet Ankaret AB","2022-12","Rusta och Matcha",40,237,34,10114,70789,0.00395491398062092,0.00334797779315995
"Kunskapscompaniet Ankaret AB","2023-01","Rusta och Matcha",29,231,33,7787,67057,0.00372415564402209,0.00344483051732109
"Kunskapscompaniet Ankaret AB","2023-02","Rusta och Matcha",30,231,26,11172,67672,0.00268528464017186,0.00341352405721717
"Kunskapscompaniet Ankaret AB","2023-03","Rusta och Matcha",34,238,26,12440,69280,0.00273311897106109,0.00343533487297921
"Kunskapscompaniet Ankaret AB","2023-04","Rusta och Matcha",25,216,50,8486,63195,0.00294602875324063,0.00341799192974128
"Kunskapscompaniet Ankaret AB","2023-05","Rusta och Matcha",51,218,49,12038,60152,0.00423658415019106,0.00362415214789201
"Kunskapscompaniet Ankaret AB","2023-06","Rusta och Matcha",45,214,48,9226,55094,0.00487752005202688,0.0038842705194758
"Kunskapscompaniet Ankaret AB","2023-07","Rusta och Matcha",30,194,47,7862,51663,0.00381582294581531,0.00375510520101427
"Kunskapscompaniet Ankaret AB","2023-08","Rusta och Matcha",18,162,47,6562,44388,0.00274306613837245,0.00364963503649635
"Kunskapscompaniet Ankaret AB","2023-09","Rusta och Matcha",33,147,48,11957,41936,0.00275988960441582,0.00350534147272034
"Kunskapscompaniet Ankaret AB","2023-10","Rusta och Matcha",33,148,33,14711,47275,0.00224321935966284,0.00313061872025383
"Kunskapscompaniet Ankaret AB","2023-11","Rusta och Matcha",24,151,17,11758,52797,0.00204116346317401,0.00286001098547266
"Kunskapscompaniet Ankaret AB","2023-12","Rusta och Matcha",22,149,18,9187,56760,0.00239468814629368,0.00262508809020437
"Kunskapscompaniet Ankaret AB","2024-01","Rusta och Matcha",19,152,17,8900,59141,0.00213483146067416,0.00257012901371299
"Kunskapscompaniet Ankaret AB","2024-02","Rusta och Matcha",23,157,16,10063,63776,0.0022856007154924,0.0024617410938284
"Kunskapscompaniet Ankaret AB","2024-03","Rusta och Matcha",17,149,20,8455,64400,0.00201064458900059,0.00231366459627329
"Kunskapscompaniet Ankaret AB","2024-04","Rusta och Matcha",0,129,17,6871,62884,0,0.0020513962216144
"Kunskapscompaniet Ankaret AB","2024-05","Rusta och Matcha",0,87,24,6017,57867,0,0.00150344756078594
"Kunskapscompaniet Ankaret AB","2024-06","Rusta och Matcha",5,57,20,5742,53560,0.000870776732845698,0.00106422703510082
"Kunskapscompaniet Ankaret AB","2024-07","Rusta och Matcha",0,42,13,5390,52364,0,0.000802077763348866
"Kunskapscompaniet Ankaret AB","2024-08","Rusta och Matcha",0,35,8,2960,46070,0,0.000759713479487736
"Kunskapscompaniet Ankaret AB","2024-09","Rusta och Matcha",0,31,6,6345,43259,0,0.000716613883816085
"Kunskapscompaniet Ankaret AB","2024-10","Rusta och Matcha",0,25,5,7366,41513,0,0.000602220991014863
"Kunskapscompaniet Ankaret AB","2024-11","Rusta och Matcha",0,18,5,5696,39416,0,0.000456667343210879
"Kunskapscompaniet Ankaret AB","2024-12","Rusta och Matcha",0,12,0,5974,40168,0,0.00029874526986656
"Kurera Framtid AB","2024-10","Rusta och Matcha",0,12,0,7366,41513,0,0.000289066075687134
"Kurera Framtid AB","2024-11","Rusta och Matcha",0,10,0,5696,39416,0,0.000253704079561599
"Kurera Framtid AB","2024-12","Rusta och Matcha",0,11,0,5974,40168,0,0.000273849830711014
"Kurera Rusta och Matcha AB","2024-08","Rusta och Matcha",0,0,0,2960,46070,0,0
"Kurera Rusta och Matcha AB","2024-09","Rusta och Matcha",0,12,0,6345,43259,0,0.000277398922767517
"LAVI gruppen AB","2023-05","Rusta och Matcha",0,0,0,12038,60152,0,0
"LAVI gruppen AB","2023-06","Rusta och Matcha",7,11,0,9226,55094,0.000758725341426404,0.000199658765019784
"LAVI gruppen AB","2023-07","Rusta och Matcha",11,21,0,7862,51663,0.00139913508013228,0.000406480459903606
"LAVI gruppen AB","2023-08","Rusta och Matcha",5,28,0,6562,44388,0.000761962816214569,0.000630801117419122
"LAVI gruppen AB","2023-09","Rusta och Matcha",17,42,0,11957,41936,0.00142176131136573,0.00100152613506295
"LAVI gruppen AB","2023-10","Rusta och Matcha",16,57,0,14711,47275,0.00108762150771532,0.00120571126388154
"LAVI gruppen AB","2023-11","Rusta och Matcha",20,73,0,11758,52797,0.00170096955264501,0.00138265431748016
"LAVI gruppen AB","2023-12","Rusta och Matcha",11,80,0,9187,56760,0.00119734407314684,0.00140944326990839
"LAVI gruppen AB","2024-01","Rusta och Matcha",9,77,10,8900,59141,0.00101123595505618,0.00130197325036777
"LAVI gruppen AB","2024-02","Rusta och Matcha",11,83,0,10063,63776,0.00109311338567028,0.00130143000501756
"LAVI gruppen AB","2024-03","Rusta och Matcha",0,77,8,8455,64400,0,0.00119565217391304
"LAVI gruppen AB","2024-04","Rusta och Matcha",6,74,10,6871,62884,0.000873235336923301,0.00117676992557725
"LAVI gruppen AB","2024-05","Rusta och Matcha",6,70,12,6017,57867,0.000997174671763337,0.00120967045120708
"LAVI gruppen AB","2024-06","Rusta och Matcha",5,66,9,5742,53560,0.000870776732845698,0.00123226288274832
"LAVI gruppen AB","2024-07","Rusta och Matcha",7,63,8,5390,52364,0.0012987012987013,0.0012031166450233
"LAVI gruppen AB","2024-08","Rusta och Matcha",0,59,8,2960,46070,0,0.00128065986542218
"LAVI gruppen AB","2024-09","Rusta och Matcha",11,54,15,6345,43259,0.00173364854215918,0.00124829515245382
"LAVI gruppen AB","2024-10","Rusta och Matcha",8,48,14,7366,41513,0.00108607113765952,0.00115626430274854
"LAVI gruppen AB","2024-11","Rusta och Matcha",8,48,8,5696,39416,0.00140449438202247,0.00121777958189568
"LAVI gruppen AB","2024-12","Rusta och Matcha",11,52,6,5974,40168,0.00184131235353197,0.00129456283608843
"Lernia Utbildning AB","2020-05","Rusta och Matcha",0,0,0,436,464,0,0
"Lernia Utbildning AB","2020-06","Rusta och Matcha",83,86,0,784,1208,0.105867346938776,0.0711920529801325
"Lernia Utbildning AB","2020-07","Rusta och Matcha",127,211,0,918,2068,0.138344226579521,0.102030947775629
"Lernia Utbildning AB","2020-08","Rusta och Matcha",69,258,24,386,2330,0.178756476683938,0.110729613733906
"Lernia Utbildning AB","2020-09","Rusta och Matcha",114,353,19,775,2913,0.147096774193548,0.121180913147957
"Lernia Utbildning AB","2020-10","Rusta och Matcha",151,475,31,1050,3769,0.143809523809524,0.126028124170868
"Lernia Utbildning AB","2020-11","Rusta och Matcha",143,590,31,895,4403,0.159776536312849,0.133999545764252
"Lernia Utbildning AB","2020-12","Rusta och Matcha",197,756,33,1389,5520,0.141828653707703,0.13695652173913
"Lernia Utbildning AB","2021-01","Rusta och Matcha",172,874,55,1239,6288,0.138821630347054,0.138994910941476
"Lernia Utbildning AB","2021-02","Rusta och Matcha",183,989,64,1509,7345,0.121272365805169,0.134649421375085
"Lernia Utbildning AB","2021-03","Rusta och Matcha",159,1043,105,1509,8181,0.105367793240557,0.127490526830461
"Lernia Utbildning AB","2021-04","Rusta och Matcha",114,1061,100,1006,8530,0.113320079522863,0.124384525205158
"Lernia Utbildning AB","2021-05","Rusta och Matcha",108,1051,119,943,8361,0.114528101802757,0.125702667145078
"Lernia Utbildning AB","2021-06","Rusta och Matcha",285,1122,212,2969,9747,0.095991916470192,0.115112342259157
"Lernia Utbildning AB","2021-07","Rusta och Matcha",293,1272,137,3811,12383,0.0768827079506691,0.10272147298716
"Lernia Utbildning AB","2021-08","Rusta och Matcha",138,1215,187,2428,13114,0.056836902800659,0.092649077321946
"Lernia Utbildning AB","2021-09","Rusta och Matcha",168,1194,180,2639,14018,0.0636604774535809,0.0851762020259666
"Lernia Utbildning AB","2021-10","Rusta och Matcha",215,1253,160,4365,16624,0.0492554410080183,0.0753729547641963
"Lernia Utbildning AB","2021-11","Rusta och Matcha",511,1602,160,10345,25024,0.04939584340261,0.0640185421994885
"Lernia Utbildning AB","2021-12","Rusta och Matcha",605,2007,189,13013,35668,0.0464919695688926,0.0562689245261859
"Lernia Utbildning AB","2022-01","Rusta och Matcha",547,2291,249,10877,43054,0.050289601912292,0.0532122450875645
"Lernia Utbildning AB","2022-02","Rusta och Matcha",912,2929,261,16179,55202,0.0563693676988689,0.0530596717510235
"Lernia Utbildning AB","2022-03","Rusta och Matcha",864,3424,355,15411,65117,0.0560638504963987,0.0525822749819556
"Lernia Utbildning AB","2022-04","Rusta och Matcha",623,3603,456,11321,68619,0.0550304743397226,0.0525073230446378
"Lernia Utbildning AB","2022-05","Rusta och Matcha",567,3686,488,10669,70318,0.0531446246133658,0.0524190107796012
"Lernia Utbildning AB","2022-06","Rusta och Matcha",423,3433,685,7847,68443,0.0539059513189754,0.0501585260727905
"Lernia Utbildning AB","2022-07","Rusta och Matcha",433,3447,435,7911,69212,0.0547339148021742,0.0498035022828411
"Lernia Utbildning AB","2022-08","Rusta och Matcha",256,3197,500,4820,65940,0.0531120331950207,0.0484834698210494
"Lernia Utbildning AB","2022-09","Rusta och Matcha",431,3187,441,8197,66124,0.0525802122727827,0.0481973262355574
"Lernia Utbildning AB","2022-10","Rusta och Matcha",642,3402,421,11356,69163,0.0565339908418457,0.0491881497332389
"Lernia Utbildning AB","2022-11","Rusta och Matcha",607,3542,470,10934,70709,0.0555149076275837,0.0500926331867231
"Lernia Utbildning AB","2022-12","Rusta och Matcha",531,3643,423,10114,70789,0.0525014830927427,0.0514627978923279
"Lernia Utbildning AB","2023-01","Rusta och Matcha",380,3425,589,7787,67057,0.0487992808527032,0.0510759503109295
"Lernia Utbildning AB","2023-02","Rusta och Matcha",571,3481,523,11172,67672,0.051109917651271,0.0514392954249911
"Lernia Utbildning AB","2023-03","Rusta och Matcha",645,3533,609,12440,69280,0.0518488745980707,0.0509959584295612
"Lernia Utbildning AB","2023-04","Rusta och Matcha",429,3198,766,8486,63195,0.0505538534056092,0.050605269404225
"Lernia Utbildning AB","2023-05","Rusta och Matcha",720,3078,839,12038,60152,0.0598105997674032,0.0511703684000532
"Lernia Utbildning AB","2023-06","Rusta och Matcha",518,2791,803,9226,55094,0.0561456752655539,0.0506588739245653
"Lernia Utbildning AB","2023-07","Rusta och Matcha",432,2692,539,7862,51663,0.0549478504197405,0.052106923717167
"Lernia Utbildning AB","2023-08","Rusta och Matcha",299,2264,722,6562,44388,0.0455653764096312,0.0510047760656033
"Lernia Utbildning AB","2023-09","Rusta och Matcha",657,2197,733,11957,41936,0.0549468930333696,0.0523893552079359
"Lernia Utbildning AB","2023-10","Rusta och Matcha",773,2467,520,14711,47275,0.0525457140914962,0.0521840296139609
"Lernia Utbildning AB","2023-11","Rusta och Matcha",626,2730,366,11758,52797,0.0532403469977887,0.0517074833797375
"Lernia Utbildning AB","2023-12","Rusta och Matcha",428,2907,266,9187,56760,0.0465875693915315,0.051215644820296
"Lernia Utbildning AB","2024-01","Rusta och Matcha",488,3018,393,8900,59141,0.0548314606741573,0.0510305879170119
"Lernia Utbildning AB","2024-02","Rusta och Matcha",554,3281,306,10063,63776,0.0550531650601212,0.05144568489714
"Lernia Utbildning AB","2024-03","Rusta och Matcha",428,3269,433,8455,64400,0.0506209343583678,0.0507608695652174
"Lernia Utbildning AB","2024-04","Rusta och Matcha",328,3121,467,6871,62884,0.0477368650851404,0.0496310667260352
"Lernia Utbildning AB","2024-05","Rusta och Matcha",342,2847,619,6017,57867,0.0568389562905102,0.0491990253512365
"Lernia Utbildning AB","2024-06","Rusta och Matcha",277,2565,572,5742,53560,0.0482410309996517,0.047890216579537
"Lernia Utbildning AB","2024-07","Rusta och Matcha",240,2479,317,5390,52364,0.0445269016697588,0.0473416851271866
